compound_id	smiles
cpd23543	CC(C)CCCCCCCCCCCC(=O)SCCN=C([O-])CCN=C([O-])[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-]
cpd22876	COc1cc(-c2oc3cc([O-])cc([O-])c3c(=O)c2OS(=O)(=O)O)ccc1OS(=O)(=O)[O-]
cpd06564	COc1ccc2c(c1)C[C@H]1[NH2+]CCc3cc4c(c-2c31)OCO4
cpd02129	OCc1cccc(O)c1
cpd23135	C[C@@H]1O[C@H](O)[C@H](O)[C@@]1(O)CO
cpd22806	N=c1nc([O-])c2nc(CNc3ccc(C[C@H](O)[C@H](O)[C@H](O)COP(=O)([O-])O)cc3)cnc2[nH]1
cpd00696	N=c1ccn([C@@H]2O[C@@H]3COP(=O)(O)O[C@H]3[C@H]2O)c([O-])n1
cpd25926	O=C(O)C(O)(CC(O)=NCCCCNCCCN=C(O)c1ccc(O)c(O)c1)CC(O)=NCCCC[NH2+]CCCN=C(O)c1ccc(O)c(O)c1
cpd14950	O=C1c2cc(O)c(O)cc2OC(O)C1c1ccc(O)cc1
cpd07860	O=c1n(-c2ccc(Br)cc2)c(=S)n2n1CCCC2
cpd22529	Cc1cc(=O)c2c(O)cc([O-])cc2o1
cpd17425	N[C@@H](CCc1ccccc1)C(=O)O
cpd06119	COc1ccc([C@@]23CCC(=O)C[C@@H]2[NH+](C)CC3)cc1OC
cpd08897	Nc1cc(C(=O)O)ccc1[O-]
cpd22570	CC(C)CCCCC(=O)C1C(=O)OC[C@H]1CO
cpd25672	C[C@H](O)[C@]1(O)C[C@@H](O)[C@H](O)O[C@@H]1C
cpd01144	OC1OC[C@@H](O[C@@H]2OC[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O
cpd14972	CC(C)(COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-])[C@@H](O)C([O-])=NCCC([O-])=NCCSC(=O)/C=C/c1ccccc1
cpd19744	C=CCCCOC(=O)C(CC)N(Cc1ccco1)C(=O)n1ccnc1
cpd00521	Cc1cn([C@H]2C[C@H](O)[C@@H](COP(=O)([O-])OP(=O)(O)O[C@H]3O[C@H](C)C(=O)[C@H](O)[C@H]3O)O2)c(=O)nc1[O-]
cpd08620	CC[C@H]1C[NH+]2CCc3cc(OC)c(OC)cc3[C@@H]2C[C@@H]1CC=O
cpd17703	CC(O)=N[C@H]1[C@@H](O[C@@H]2[C@@H]([NH3+])C[C@@H]([NH3+])[C@H](O)[C@H]2O)O[C@H](CO)[C@@H](O)[C@@H]1O
cpd05419	O=c1[cH-]cc(CO[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)o1
cpd26643	CSCCCCCCCC/C(=N\O)S[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O
cpd00189	CN(C)c1ccc2nc3ccc(N(C)C)cc3[s+]c2c1
cpd07341	CC(C)CN=C(O)/C=C/c1ccc2c(c1)OCO2
cpd06974	COc1cc(-c2oc3cc([O-])cc(O)c3c(=O)c2O)ccc1O
cpd25591	CC/C=C\C(=O)C(=O)[O-]
cpd07522	COc1cc2cc3c(c(-c4ccc5c(c4)OCO5)c2cc1OC)C(=O)OC3
cpd26396	O=C([O-])CCc1c[nH]c(CO)c1CC(=O)[O-]
cpd23057	O=c1c(O)c(-c2ccc(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)c(O)c2)oc2cc([O-])cc(O)c12
cpd03924	COc1cc2c3cc1Oc1cc4c(c(OC)c1O)CC[NH+](C)[C@@H]4Cc1ccc(cc1)Oc1cc(ccc1O)C[C@@H]3[NH+](C)CC2
cpd25157	CCCCCCCC/C=C\CCCCCCCC(=O)OC(COC(=O)CCCCCCCCCCCCCCCCC)COC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O
cpd21371	COc1cc2cc(c1Cl)N=C(O)C[C@H](OC(=O)C(C)C)[C@]1(C)O[C@H]1[C@H](C)[C@@H]1C[C@@](O)(N=C(O)O1)[C@H](OC)/C=C/C=C(\C)C2
cpd17271	COC(=O)C1=CO[C@@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H]2[C@H](C)O[C@@H](O)C[C@H]12
cpd08770	CCC(C)[C@H]1O[C@@]2(C[C@@H]3C[C@@H](C/C=C(\C)[C@@H](O[C@H]4C[C@H](OC)[C@@H](O)[C@H](C)O4)[C@@H](C)/C=C/C=C4\CO[C@@H]5[C@H](O)C(C)=C[C@@H](C(=O)O3)[C@]45O)O2)C[C@H](O)[C@@H]1C
cpd08249	C=C(C)[C@@H]1CC=C(C)[C@H](O)C1
cpd09688	CCCCCCCC/C=C\CCCCCCCC(=O)OC(COC(=O)CCCCCCCCCCCCCCC)COP(=O)([O-])OCC[N+](C)(C)C
cpd20260	CCS(=O)CSP(=S)(OC(C)C)OC(C)C
cpd07275	C/C=C1/C[C@@H](C)[C@@](C)(OC(C)=O)C(=O)OCc2ccn3c2[C@H](CC3=O)OC1=O
cpd06765	CC1=CCC(C(C)C)C=C1
cpd17404	CSCCCC(O)(CC(=O)[O-])C(=O)[O-]
cpd09303	S=C1SCN(Cc2ccccc2)CN1Cc1ccccc1
cpd24894	CCCCCCCCCCCCCCCCCCCCOC(=O)CCCCCCCCCCCCCCCCC
cpd16501	CN1CCC[C@@H]1c1ccc[nH+]c1
cpd19789	COc1cccc(C(O)=NN(C(=O)c2cc(C)cc(C)c2)C(C)(C)C)c1C
cpd06365	C=C1C(=O)O[C@@H]2C[C@@]3(C)[C@H](O)C[C@H](O)C(=C)[C@@H]3C[C@H]12
cpd24145	CSCCCCCC(NO)C(=O)[O-]
cpd25880	CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/Cc1cc(C(=O)O)ccc1[O-]
cpd15148	Nc1ccc(-c2ccc(N)cc2)cc1
cpd02558	OC[C@H]1O[C@H](O[C@@H]2[C@H](O)[C@H](O)O[C@H](CO)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O
cpd05661	CC1=C[C@H](O)[C@@H](O)[C@@]2(C)[C@H]1C[C@H]1OC(=O)C[C@H]3[C@@H](C)[C@@H](O)[C@]4(O)OC[C@@]31[C@@H]24
cpd17919	SC(=NC1CCCCC1)N1CCC(c2cnc[nH]2)CC1
cpd09106	CC[C@@H](C)C[C@@H](C)/C=C(C)/C=C/C=C/C(O)=C1/C(=O)C(Cc2ccc([O-])cc2)N=C1O
cpd19461	CCCCCCCCCC(CCCCCCCCCCCC(=O)[O-])O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O
cpd16382	N[C@@H](CCC(O)=N[C@H]1CSSC[C@H](N=C(O)CC[C@H]([NH3+])C(=O)O)C(O)=NCC(O)=NCCCCCNCCCN=C(O)CN=C1O)C(=O)O
cpd22933	O=C([O-])Cc1cc(I)c(Oc2cc(I)c(O)c(I)c2)c(I)c1
cpd09294	NS(=O)(=O)c1cc2c(cc1Cl)NC(C1CC3C=CC1C3)NS2(=O)=O
cpd24007	C[C@]12CC[C@@]3(O)[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CCC2=O
cpd10876	CO[C@H]1C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)O[C@H]([C@H](C)C[C@@H]2CC[C@@H](OC(=O)C(C)(CO)CO)[C@H](OC)C2)CC(=O)[C@H](C)/C=C(\C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)/C=C/C=C/C=C/1C
cpd04370	O=C([O-])/C(Cl)=C\C=C(\Cl)C(=O)[O-]
cpd22954	CC(/C=C/C=C(C)/C=C/C=C(C)/C=C/[C@@H](O)C(C)(C)O)=C\C=C\C=C(C)\C=C\C=C(C)\C=C\C=C(C)\C=C\[C@@H](O)C(C)(C)O
cpd02074	NCCCCC(=O)C(=O)O
cpd20099	COC1=CC(=O)C=C(C)[C@]12Oc1c(Cl)c(OC)cc(OC)c1C2=O
cpd25221	CCCCC/C=C\C/C=C\CCCCCCCC(=O)OC(COC(=O)CCCCCCCCC/C=C\CCCCCCCC)COP(=O)(O)OCCN
cpd03433	CCC1=C(C)C(CC2=N/C(=C/c3[nH]c(CC4N=C(O)C(C)=C4CC)c(C)c3CCC(=O)[O-])C(CCC(=O)[O-])=C2C)N=C1O
cpd16447	COc1ccc(C(O)CO)cc1OC
cpd20793	Cc1cc(=O)oc2c1cc(C)c1occ(C)c12
cpd20695	CCN(Cc1cccc(S(=O)(=O)[O-])c1)c1ccc(C(=C2C=CC(=[N+](CC)Cc3cccc(S(=O)(=O)[O-])c3)C=C2)c2ccc(S(=O)(=O)[O-])cc2)cc1.[Na+].[Na+]
cpd22990	C=C/C(C)=C/C=C/C(C)=C/C=C1/C(C)=CCCC1(C)C
cpd10396	CCCCCCCc1ccc(O)cc1
cpd14915	O=S(=O)(O)c1ccc2c(O)c([O-])ccc2c1
cpd26567	CC(O)=N[C@H](CSCc1c(C)c(=O)n2c(=O)c(C)c(C)n12)C(O)=N[C@H]1[C@@H](O[C@H]2[C@H](O)[C@@H](O)[C@H](O)[C@@H](O)[C@H]2O)O[C@H](CO)[C@@H](O)[C@@H]1O
cpd01501	C[C@H](C(=O)[O-])[C@](O)(CC(=O)[O-])C(=O)[O-]
